Marca de Tiempo [s],Marca de Tiempo [ μs ],Dirección de Bloque Lógico (LBA) de un sector de lectura,Tamaño de un bloque al que accede una muestra,Entropia_de_Shannon,Tipo de Archivo
1590401222,779597956,87154200,4096,0.985513,benigno
1590395045,614189974,69236216,4096,0.995207,benigno
1622093461,882556946,6483936,4096,0.419207,benigno
1586933990,736983358,16757976,4096,0.0,benigno
1598249234,407261545,99369576,4096,0.994428,benigno
1594100121,739895413,57400704,4096,0.995189,benigno
1622601199,748348531,6547088,4096,0.411195,benigno
1622600355,656437825,45448616,4096,0.993748,benigno
1596700709,114846097,6307296,4096,0.0166276,benigno
1595984285,520930029,82199488,4096,0.993792,benigno
1594104960,933385955,58361648,4096,0.994449,benigno
1590394271,927392966,89527600,4096,0.99363,benigno
1590394297,850671060,90953048,4096,0.994689,benigno
1622701591,218311583,6485040,4096,0.403336,benigno
1623909303,260797220,1423856,4096,0.514676,benigno
1622090677,69035230,46311648,4096,0.994969,benigno
1586222175,310849983,6522576,4096,0.385106,benigno
1586220974,451467109,46849928,4096,0.994577,benigno
1598250045,287041995,81991008,4096,0.994493,benigno
1590401044,858297947,87195016,4096,0.993436,benigno
1597981254,38444764,6611256,4096,0.37816,benigno
1598600240,134341045,1203152,4096,0.994113,benigno
1597986538,1037370668,6554600,4096,0.387325,benigno
1586222461,690060950,28423928,4096,0.994735,benigno
1590391740,4592118,28418512,4096,0.994302,benigno
1622607990,264587737,6888752,4096,0.231524,benigno
1590401034,895996764,70386576,4096,0.993261,benigno
1598246203,307259175,6951528,4096,0.255899,benigno
1590395901,369863090,81586032,4096,0.994738,benigno
1622090769,244840657,45437696,4096,0.994737,benigno
1589947385,803761062,44628440,4096,0.0,benigno
1623895744,594373918,45304768,4096,0.694828,benigno
1598239899,742084502,46267456,4096,0.922503,benigno
1598606276,405205082,46453608,4096,0.160187,benigno
1623895809,553461387,47815080,4096,0.0,benigno
1590393971,414147151,82671032,4096,0.993439,benigno
1589946731,898254517,44686640,4096,0.0,benigno
1625629410,759963539,244203256,4096,0.401981,benigno
1623912120,1005169121,6307328,4096,0.0764743,benigno
1622092352,752043583,6609984,4096,0.414817,benigno
1622702569,162373933,1204704,4096,0.994728,benigno
1590394009,439937837,84623344,4096,0.994926,benigno
1594103555,442428113,58215736,4096,0.994589,benigno
1594091326,172507351,58894984,4096,0.993567,benigno
1597978610,106228262,45467136,4096,0.99496,benigno
